Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Strikeout,False,1,TOP,1,0,0,,,,Merrill Kelly,Corbin Burnes,Josh Rojas,Ketel Marte,Pavin Smith,Evan Longoria,Corbin Carroll,Jake McCarthy,Gabriel Moreno,Alek Thomas,Geraldo Perdomo,Christian Yelich,Willy Adames,Rowdy Tellez,Brian Anderson,Garrett Mitchell,Victor Caratini,Brice Turang,Joey Wiemer,Mike Brosseau,Evan Longoria,Gabriel Moreno,Pavin Smith,Ketel Marte,Josh Rojas,Geraldo Perdomo,Corbin Carroll,Alek Thomas,Jake McCarthy,Christian Yelich,Victor Caratini,Rowdy Tellez,Brice Turang,Mike Brosseau,Willy Adames,Joey Wiemer,Garrett Mitchell,Brian Anderson
Walk,False,1,TOP,2,0,1,,,,Merrill Kelly,Corbin Burnes,Josh Rojas,Ketel Marte,Pavin Smith,Evan Longoria,Corbin Carroll,Jake McCarthy,Gabriel Moreno,Alek Thomas,Geraldo Perdomo,Christian Yelich,Willy Adames,Rowdy Tellez,Brian Anderson,Garrett Mitchell,Victor Caratini,Brice Turang,Joey Wiemer,Mike Brosseau,Evan Longoria,Gabriel Moreno,Pavin Smith,Ketel Marte,Josh Rojas,Geraldo Perdomo,Corbin Carroll,Alek Thomas,Jake McCarthy,Christian Yelich,Victor Caratini,Rowdy Tellez,Brice Turang,Mike Brosseau,Willy Adames,Joey Wiemer,Garrett Mitchell,Brian Anderson
Groundout,False,1,TOP,3,0,1,Willy Adames,,,Merrill Kelly,Corbin Burnes,Josh Rojas,Ketel Marte,Pavin Smith,Evan Longoria,Corbin Carroll,Jake McCarthy,Gabriel Moreno,Alek Thomas,Geraldo Perdomo,Christian Yelich,Willy Adames,Rowdy Tellez,Brian Anderson,Garrett Mitchell,Victor Caratini,Brice Turang,Joey Wiemer,Mike Brosseau,Evan Longoria,Gabriel Moreno,Pavin Smith,Ketel Marte,Josh Rojas,Geraldo Perdomo,Corbin Carroll,Alek Thomas,Jake McCarthy,Christian Yelich,Victor Caratini,Rowdy Tellez,Brice Turang,Mike Brosseau,Willy Adames,Joey Wiemer,Garrett Mitchell,Brian Anderson
Groundout,False,1,TOP,4,0,2,,Willy Adames,,Merrill Kelly,Corbin Burnes,Josh Rojas,Ketel Marte,Pavin Smith,Evan Longoria,Corbin Carroll,Jake McCarthy,Gabriel Moreno,Alek Thomas,Geraldo Perdomo,Christian Yelich,Willy Adames,Rowdy Tellez,Brian Anderson,Garrett Mitchell,Victor Caratini,Brice Turang,Joey Wiemer,Mike Brosseau,Evan Longoria,Gabriel Moreno,Pavin Smith,Ketel Marte,Josh Rojas,Geraldo Perdomo,Corbin Carroll,Alek Thomas,Jake McCarthy,Christian Yelich,Victor Caratini,Rowdy Tellez,Brice Turang,Mike Brosseau,Willy Adames,Joey Wiemer,Garrett Mitchell,Brian Anderson
Flyout,False,1,BOTTOM,5,0,0,,,,Merrill Kelly,Corbin Burnes,Josh Rojas,Ketel Marte,Pavin Smith,Evan Longoria,Corbin Carroll,Jake McCarthy,Gabriel Moreno,Alek Thomas,Geraldo Perdomo,Christian Yelich,Willy Adames,Rowdy Tellez,Brian Anderson,Garrett Mitchell,Victor Caratini,Brice Turang,Joey Wiemer,Mike Brosseau,Evan Longoria,Gabriel Moreno,Pavin Smith,Ketel Marte,Josh Rojas,Geraldo Perdomo,Corbin Carroll,Alek Thomas,Jake McCarthy,Christian Yelich,Victor Caratini,Rowdy Tellez,Brice Turang,Mike Brosseau,Willy Adames,Joey Wiemer,Garrett Mitchell,Brian Anderson
Groundout,False,1,BOTTOM,6,0,1,,,,Merrill Kelly,Corbin Burnes,Josh Rojas,Ketel Marte,Pavin Smith,Evan Longoria,Corbin Carroll,Jake McCarthy,Gabriel Moreno,Alek Thomas,Geraldo Perdomo,Christian Yelich,Willy Adames,Rowdy Tellez,Brian Anderson,Garrett Mitchell,Victor Caratini,Brice Turang,Joey Wiemer,Mike Brosseau,Evan Longoria,Gabriel Moreno,Pavin Smith,Ketel Marte,Josh Rojas,Geraldo Perdomo,Corbin Carroll,Alek Thomas,Jake McCarthy,Christian Yelich,Victor Caratini,Rowdy Tellez,Brice Turang,Mike Brosseau,Willy Adames,Joey Wiemer,Garrett Mitchell,Brian Anderson
Strikeout,False,1,BOTTOM,7,0,2,,,,Merrill Kelly,Corbin Burnes,Josh Rojas,Ketel Marte,Pavin Smith,Evan Longoria,Corbin Carroll,Jake McCarthy,Gabriel Moreno,Alek Thomas,Geraldo Perdomo,Christian Yelich,Willy Adames,Rowdy Tellez,Brian Anderson,Garrett Mitchell,Victor Caratini,Brice Turang,Joey Wiemer,Mike Brosseau,Evan Longoria,Gabriel Moreno,Pavin Smith,Ketel Marte,Josh Rojas,Geraldo Perdomo,Corbin Carroll,Alek Thomas,Jake McCarthy,Christian Yelich,Victor Caratini,Rowdy Tellez,Brice Turang,Mike Brosseau,Willy Adames,Joey Wiemer,Garrett Mitchell,Brian Anderson
Strikeout,False,2,TOP,8,0,0,,,,Merrill Kelly,Corbin Burnes,Josh Rojas,Ketel Marte,Pavin Smith,Evan Longoria,Corbin Carroll,Jake McCarthy,Gabriel Moreno,Alek Thomas,Geraldo Perdomo,Christian Yelich,Willy Adames,Rowdy Tellez,Brian Anderson,Garrett Mitchell,Victor Caratini,Brice Turang,Joey Wiemer,Mike Brosseau,Evan Longoria,Gabriel Moreno,Pavin Smith,Ketel Marte,Josh Rojas,Geraldo Perdomo,Corbin Carroll,Alek Thomas,Jake McCarthy,Christian Yelich,Victor Caratini,Rowdy Tellez,Brice Turang,Mike Brosseau,Willy Adames,Joey Wiemer,Garrett Mitchell,Brian Anderson
Groundout,False,2,TOP,9,0,1,,,,Merrill Kelly,Corbin Burnes,Josh Rojas,Ketel Marte,Pavin Smith,Evan Longoria,Corbin Carroll,Jake McCarthy,Gabriel Moreno,Alek Thomas,Geraldo Perdomo,Christian Yelich,Willy Adames,Rowdy Tellez,Brian Anderson,Garrett Mitchell,Victor Caratini,Brice Turang,Joey Wiemer,Mike Brosseau,Evan Longoria,Gabriel Moreno,Pavin Smith,Ketel Marte,Josh Rojas,Geraldo Perdomo,Corbin Carroll,Alek Thomas,Jake McCarthy,Christian Yelich,Victor Caratini,Rowdy Tellez,Brice Turang,Mike Brosseau,Willy Adames,Joey Wiemer,Garrett Mitchell,Brian Anderson
Strikeout,False,2,TOP,10,0,2,,,,Merrill Kelly,Corbin Burnes,Josh Rojas,Ketel Marte,Pavin Smith,Evan Longoria,Corbin Carroll,Jake McCarthy,Gabriel Moreno,Alek Thomas,Geraldo Perdomo,Christian Yelich,Willy Adames,Rowdy Tellez,Brian Anderson,Garrett Mitchell,Victor Caratini,Brice Turang,Joey Wiemer,Mike Brosseau,Evan Longoria,Gabriel Moreno,Pavin Smith,Ketel Marte,Josh Rojas,Geraldo Perdomo,Corbin Carroll,Alek Thomas,Jake McCarthy,Christian Yelich,Victor Caratini,Rowdy Tellez,Brice Turang,Mike Brosseau,Willy Adames,Joey Wiemer,Garrett Mitchell,Brian Anderson
