Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Groundout,False,1,TOP,1,0,0,,,,George Kirby,Ryan Feltner,Julio Rodriguez,Ty France,Eugenio Suarez,Cal Raleigh,Teoscar Hernandez,Jarred Kelenic,Tommy La Stella,Kolten Wong,J.P. Crawford,Jurickson Profar,Kris Bryant,Charlie Blackmon,C.J. Cron,Ryan McMahon,Elias Diaz,Elehuris Montero,Yonathan Daza,Ezequiel Tovar,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Charlie Blackmon,Elias Diaz,C.J. Cron,Ryan McMahon,Elehuris Montero,Ezequiel Tovar,Jurickson Profar,Yonathan Daza,Kris Bryant
Groundout,False,1,TOP,2,0,1,,,,George Kirby,Ryan Feltner,Julio Rodriguez,Ty France,Eugenio Suarez,Cal Raleigh,Teoscar Hernandez,Jarred Kelenic,Tommy La Stella,Kolten Wong,J.P. Crawford,Jurickson Profar,Kris Bryant,Charlie Blackmon,C.J. Cron,Ryan McMahon,Elias Diaz,Elehuris Montero,Yonathan Daza,Ezequiel Tovar,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Charlie Blackmon,Elias Diaz,C.J. Cron,Ryan McMahon,Elehuris Montero,Ezequiel Tovar,Jurickson Profar,Yonathan Daza,Kris Bryant
Strikeout,False,1,TOP,3,0,2,,,,George Kirby,Ryan Feltner,Julio Rodriguez,Ty France,Eugenio Suarez,Cal Raleigh,Teoscar Hernandez,Jarred Kelenic,Tommy La Stella,Kolten Wong,J.P. Crawford,Jurickson Profar,Kris Bryant,Charlie Blackmon,C.J. Cron,Ryan McMahon,Elias Diaz,Elehuris Montero,Yonathan Daza,Ezequiel Tovar,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Charlie Blackmon,Elias Diaz,C.J. Cron,Ryan McMahon,Elehuris Montero,Ezequiel Tovar,Jurickson Profar,Yonathan Daza,Kris Bryant
Flyout,False,1,BOTTOM,4,0,0,,,,George Kirby,Ryan Feltner,Julio Rodriguez,Ty France,Eugenio Suarez,Cal Raleigh,Teoscar Hernandez,Jarred Kelenic,Tommy La Stella,Kolten Wong,J.P. Crawford,Jurickson Profar,Kris Bryant,Charlie Blackmon,C.J. Cron,Ryan McMahon,Elias Diaz,Elehuris Montero,Yonathan Daza,Ezequiel Tovar,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Charlie Blackmon,Elias Diaz,C.J. Cron,Ryan McMahon,Elehuris Montero,Ezequiel Tovar,Jurickson Profar,Yonathan Daza,Kris Bryant
Groundout,False,1,BOTTOM,5,0,1,,,,George Kirby,Ryan Feltner,Julio Rodriguez,Ty France,Eugenio Suarez,Cal Raleigh,Teoscar Hernandez,Jarred Kelenic,Tommy La Stella,Kolten Wong,J.P. Crawford,Jurickson Profar,Kris Bryant,Charlie Blackmon,C.J. Cron,Ryan McMahon,Elias Diaz,Elehuris Montero,Yonathan Daza,Ezequiel Tovar,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Charlie Blackmon,Elias Diaz,C.J. Cron,Ryan McMahon,Elehuris Montero,Ezequiel Tovar,Jurickson Profar,Yonathan Daza,Kris Bryant
Strikeout,False,1,BOTTOM,6,0,2,,,,George Kirby,Ryan Feltner,Julio Rodriguez,Ty France,Eugenio Suarez,Cal Raleigh,Teoscar Hernandez,Jarred Kelenic,Tommy La Stella,Kolten Wong,J.P. Crawford,Jurickson Profar,Kris Bryant,Charlie Blackmon,C.J. Cron,Ryan McMahon,Elias Diaz,Elehuris Montero,Yonathan Daza,Ezequiel Tovar,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Charlie Blackmon,Elias Diaz,C.J. Cron,Ryan McMahon,Elehuris Montero,Ezequiel Tovar,Jurickson Profar,Yonathan Daza,Kris Bryant
Single,False,2,TOP,7,0,0,,,,George Kirby,Ryan Feltner,Julio Rodriguez,Ty France,Eugenio Suarez,Cal Raleigh,Teoscar Hernandez,Jarred Kelenic,Tommy La Stella,Kolten Wong,J.P. Crawford,Jurickson Profar,Kris Bryant,Charlie Blackmon,C.J. Cron,Ryan McMahon,Elias Diaz,Elehuris Montero,Yonathan Daza,Ezequiel Tovar,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Charlie Blackmon,Elias Diaz,C.J. Cron,Ryan McMahon,Elehuris Montero,Ezequiel Tovar,Jurickson Profar,Yonathan Daza,Kris Bryant
Strikeout,False,2,TOP,8,0,0,C.J. Cron,,,George Kirby,Ryan Feltner,Julio Rodriguez,Ty France,Eugenio Suarez,Cal Raleigh,Teoscar Hernandez,Jarred Kelenic,Tommy La Stella,Kolten Wong,J.P. Crawford,Jurickson Profar,Kris Bryant,Charlie Blackmon,C.J. Cron,Ryan McMahon,Elias Diaz,Elehuris Montero,Yonathan Daza,Ezequiel Tovar,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Charlie Blackmon,Elias Diaz,C.J. Cron,Ryan McMahon,Elehuris Montero,Ezequiel Tovar,Jurickson Profar,Yonathan Daza,Kris Bryant
Single,False,2,TOP,9,0,1,C.J. Cron,,,George Kirby,Ryan Feltner,Julio Rodriguez,Ty France,Eugenio Suarez,Cal Raleigh,Teoscar Hernandez,Jarred Kelenic,Tommy La Stella,Kolten Wong,J.P. Crawford,Jurickson Profar,Kris Bryant,Charlie Blackmon,C.J. Cron,Ryan McMahon,Elias Diaz,Elehuris Montero,Yonathan Daza,Ezequiel Tovar,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Charlie Blackmon,Elias Diaz,C.J. Cron,Ryan McMahon,Elehuris Montero,Ezequiel Tovar,Jurickson Profar,Yonathan Daza,Kris Bryant
Single,False,2,TOP,10,0,1,Elias Diaz,C.J. Cron,,George Kirby,Ryan Feltner,Julio Rodriguez,Ty France,Eugenio Suarez,Cal Raleigh,Teoscar Hernandez,Jarred Kelenic,Tommy La Stella,Kolten Wong,J.P. Crawford,Jurickson Profar,Kris Bryant,Charlie Blackmon,C.J. Cron,Ryan McMahon,Elias Diaz,Elehuris Montero,Yonathan Daza,Ezequiel Tovar,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Charlie Blackmon,Elias Diaz,C.J. Cron,Ryan McMahon,Elehuris Montero,Ezequiel Tovar,Jurickson Profar,Yonathan Daza,Kris Bryant
